mc_initial,temperature,humidity,mc_final,drying_time,temp_ave,humidity_ave,mc_decay
31.0,31.0,49.0,11.0,6.48,30.74285714,59.42857143,3.084832905
32.5,31.0,49.0,12.0,6.48,30.74285714,59.42857143,3.161953728
35.0,31.0,49.0,11.0,6.48,30.74285714,59.42857143,3.701799486
33.0,31.0,49.0,11.0,6.48,30.74285714,59.42857143,3.393316195
32.0,31.0,49.0,12.5,6.48,30.74285714,59.42857143,3.007712082
33.5,31.0,49.0,13.0,6.48,30.74285714,59.42857143,3.161953728
31.0,31.0,49.0,12.5,6.48,30.74285714,59.42857143,2.853470437
32.5,29.7,57.0,12.0,6.35,30.48571429,57.85714286,3.228346457
32.0,29.7,57.0,12.0,6.35,30.48571429,57.85714286,3.149606299
33.0,29.7,57.0,12.5,6.35,30.48571429,57.85714286,3.228346457
33.5,29.7,57.0,13.0,6.35,30.48571429,57.85714286,3.228346457
35.0,29.7,57.0,12.0,6.35,30.48571429,57.85714286,3.622047244
33.0,29.7,57.0,11.5,6.35,30.48571429,57.85714286,3.385826772
33.0,29.7,57.0,13.5,6.35,30.48571429,57.85714286,3.070866142
34.0,29.7,57.0,12.0,6.35,30.48571429,57.85714286,3.464566929
33.5,29.7,57.0,12.0,6.35,30.48571429,57.85714286,3.385826772
35.0,29.7,57.0,11.5,6.35,30.48571429,57.85714286,3.700787402
33.0,29.7,57.0,13.0,6.35,30.48571429,57.85714286,3.149606299
32.0,31.8,58.0,12.5,6.0,31.62857143,58.85714286,3.25
33.0,31.8,58.0,13.0,6.0,31.62857143,58.85714286,3.333333333
31.0,31.8,58.0,12.5,6.0,31.62857143,58.85714286,3.083333333
31.0,31.8,58.0,13.5,6.0,31.62857143,58.85714286,2.916666667
29.0,31.8,58.0,13.0,6.0,31.62857143,58.85714286,2.666666667
30.0,31.8,58.0,11.5,6.0,31.62857143,58.85714286,3.083333333
33.0,31.8,58.0,13.5,6.0,31.62857143,58.85714286,3.25
31.5,31.8,58.0,13.0,6.0,31.62857143,58.85714286,3.083333333
29.0,31.8,58.0,13.5,6.0,31.62857143,58.85714286,2.583333333
30.0,31.8,58.0,10.0,6.0,31.62857143,58.85714286,3.333333333
28.5,31.8,58.0,12.0,6.0,31.62857143,58.85714286,2.75
30.5,31.8,58.0,12.0,6.0,31.62857143,58.85714286,3.083333333
31.0,31.8,58.0,12.0,6.0,31.62857143,58.85714286,3.166666667
30.5,31.8,58.0,13.5,6.0,31.62857143,58.85714286,2.833333333
30.5,30.7,60.0,11.0,6.0,31.72857143,59.71428571,3.25
32.5,30.7,60.0,13.5,6.0,31.72857143,59.71428571,3.166666667
33.0,30.7,60.0,14.5,6.0,31.72857143,59.71428571,3.083333333
30.5,30.7,60.0,13.5,6.0,31.72857143,59.71428571,2.833333333
33.0,30.7,60.0,12.5,6.0,31.72857143,59.71428571,3.416666667
28.0,30.7,60.0,13.5,6.0,31.72857143,59.71428571,2.416666667
32.0,30.7,60.0,13.5,6.0,31.72857143,59.71428571,3.083333333
29.0,30.7,60.0,13.5,6.0,31.72857143,59.71428571,2.583333333
30.0,30.7,60.0,14.0,6.0,31.72857143,59.71428571,2.666666667
31.5,30.7,60.0,13.5,6.0,31.72857143,59.71428571,3.0
26.5,30.7,60.0,13.5,6.0,31.72857143,59.71428571,2.166666667
31.5,30.7,60.0,14.0,6.0,31.72857143,59.71428571,2.916666667
17.5,30.2,73.0,14.0,4.4,32.48,64.2,0.795454545
18.0,30.2,73.0,13.0,4.4,32.48,64.2,1.136363636
18.0,30.2,73.0,13.5,4.4,32.48,64.2,1.022727273
17.5,30.2,73.0,13.5,4.4,32.48,64.2,0.909090909
17.5,30.2,73.0,13.0,4.4,32.48,64.2,1.022727273
18.0,30.2,73.0,14.0,4.4,32.48,64.2,0.909090909
17.0,30.2,73.0,13.0,4.4,32.48,64.2,0.909090909
16.5,30.2,73.0,13.5,4.4,32.48,64.2,0.681818182
19.0,30.2,73.0,14.0,4.4,32.48,64.2,1.136363636
18.5,30.2,73.0,13.0,4.4,32.48,64.2,1.25
16.0,30.2,73.0,13.0,4.4,32.48,64.2,0.681818182
15.5,30.5,74.0,13.0,4.42,32.92,64.4,0.566037736
17.0,30.5,74.0,14.0,4.42,32.92,64.4,0.679245283
15.5,30.5,74.0,12.0,4.42,32.92,64.4,0.79245283
17.5,30.5,74.0,13.0,4.42,32.92,64.4,1.018867925
15.0,30.5,74.0,12.0,4.42,32.92,64.4,0.679245283
15.5,30.5,74.0,12.5,4.42,32.92,64.4,0.679245283
17.0,30.5,74.0,13.5,4.42,32.92,64.4,0.79245283
18.5,30.5,74.0,13.0,4.42,32.92,64.4,1.245283019
18.0,30.5,74.0,14.0,4.42,32.92,64.4,0.905660377
18.5,30.5,74.0,13.5,4.42,32.92,64.4,1.132075472
18.0,30.5,74.0,13.5,4.42,32.92,64.4,1.018867925
17.5,30.5,74.0,14.0,4.42,32.92,64.4,0.79245283
15.5,29.1,70.0,12.5,4.45,32.2,65.6,0.674157303
16.5,29.1,70.0,13.5,4.45,32.2,65.6,0.674157303
16.0,29.1,70.0,13.5,4.45,32.2,65.6,0.561797753
14.5,29.1,70.0,13.0,4.45,32.2,65.6,0.337078652
21.5,29.1,70.0,12.5,4.45,32.2,65.6,2.02247191
15.0,29.1,70.0,12.5,4.45,32.2,65.6,0.561797753
15.0,29.1,70.0,13.0,4.45,32.2,65.6,0.449438202
15.0,29.1,70.0,12.0,4.45,32.2,65.6,0.674157303
15.5,29.1,70.0,12.0,4.45,32.2,65.6,0.786516854
16.0,29.1,70.0,12.0,4.45,32.2,65.6,0.898876404
15.0,29.5,70.0,13.5,4.0,31.36,62.4,0.375
16.0,29.5,70.0,13.0,4.0,31.36,62.4,0.75
16.5,29.5,70.0,13.5,4.0,31.36,62.4,0.75
16.0,29.5,70.0,13.5,4.0,31.36,62.4,0.625
16.0,29.5,70.0,14.0,4.0,31.36,62.4,0.5
16.5,29.5,70.0,14.0,4.0,31.36,62.4,0.625
15.0,29.5,70.0,13.0,4.0,31.36,62.4,0.5
16.0,29.5,70.0,12.5,4.0,31.36,62.4,0.875
15.5,29.5,70.0,12.5,4.0,31.36,62.4,0.75
15.5,29.5,70.0,12.0,4.0,31.36,62.4,0.875
16.5,29.5,70.0,13.0,4.28,32.54,59.8,0.817120623
16.5,29.5,70.0,12.5,4.28,32.54,59.8,0.93385214
17.0,29.5,70.0,13.0,4.28,32.54,59.8,0.93385214
17.0,29.5,70.0,12.5,4.28,32.54,59.8,1.050583658
17.0,29.5,70.0,13.5,4.28,32.54,59.8,0.817120623
16.5,29.5,70.0,13.5,4.28,32.54,59.8,0.700389105
16.0,29.5,70.0,12.0,4.28,32.54,59.8,0.93385214
16.0,29.5,70.0,13.0,4.28,32.54,59.8,0.700389105
15.5,29.5,70.0,13.0,4.28,32.54,59.8,0.583657588
15.5,29.5,70.0,12.0,4.28,32.54,59.8,0.817120623
18.0,29.5,70.0,13.5,4.28,32.54,59.8,1.050583658
15.0,29.5,70.0,13.5,4.28,32.54,59.8,0.350194553
16.0,29.5,70.0,12.0,4.18,32.48,59.4,0.956175299
15.5,29.5,70.0,13.5,4.18,32.48,59.4,0.478087649
15.5,29.5,70.0,13.0,4.18,32.48,59.4,0.597609562
15.0,29.5,70.0,13.5,4.18,32.48,59.4,0.358565737
17.0,29.5,70.0,13.0,4.18,32.48,59.4,0.956175299
16.5,29.5,70.0,13.5,4.18,32.48,59.4,0.717131474
18.0,29.5,70.0,13.5,4.18,32.48,59.4,1.075697211
16.0,29.5,70.0,13.5,4.18,32.48,59.4,0.597609562
17.0,29.5,70.0,13.5,4.18,32.48,59.4,0.836653386
17.0,29.5,70.0,14.0,4.18,32.48,59.4,0.717131474
18.0,29.5,70.0,13.0,4.18,32.48,59.4,1.195219124
17.0,29.6,69.0,14.5,3.23,32.025,64.75,0.773195876
16.5,29.6,69.0,15.0,3.23,32.025,64.75,0.463917526
17.0,29.6,69.0,14.0,3.23,32.025,64.75,0.927835052
17.5,29.6,69.0,14.0,3.23,32.025,64.75,1.082474227
17.5,29.6,69.0,14.5,3.23,32.025,64.75,0.927835052
18.0,29.6,69.0,14.0,3.23,32.025,64.75,1.237113402
18.0,29.6,69.0,13.5,3.23,32.025,64.75,1.391752577
16.5,29.6,69.0,14.5,3.23,32.025,64.75,0.618556701
16.5,29.6,69.0,13.0,3.23,32.025,64.75,1.082474227
16.0,29.6,69.0,14.0,3.23,32.025,64.75,0.618556701
17.5,29.6,69.0,13.0,3.23,32.025,64.75,1.391752577
17.0,29.6,69.0,13.5,3.25,32.025,64.75,1.076923077
17.0,29.6,69.0,15.0,3.25,32.025,64.75,0.615384615
16.5,29.6,69.0,14.0,3.25,32.025,64.75,0.769230769
17.0,29.6,69.0,14.5,3.25,32.025,64.75,0.769230769
17.0,29.6,69.0,14.0,3.25,32.025,64.75,0.923076923
16.5,29.6,69.0,13.0,3.25,32.025,64.75,1.076923077
17.0,29.6,69.0,13.0,3.25,32.025,64.75,1.230769231
17.5,29.6,69.0,13.5,3.25,32.025,64.75,1.230769231
17.0,29.6,69.0,13.5,3.17,32.85,62.75,1.105263158
17.0,29.6,69.0,15.5,3.17,32.85,62.75,0.473684211
17.0,29.6,69.0,14.0,3.17,32.85,62.75,0.947368421
17.5,29.6,69.0,14.5,3.17,32.85,62.75,0.947368421
16.5,29.6,69.0,15.0,3.17,32.85,62.75,0.473684211
17.0,29.6,69.0,14.5,3.17,32.85,62.75,0.789473684
15.5,29.6,69.0,13.0,3.17,32.85,62.75,0.789473684
