mc_initial,temperature,humidity,mc_final,drying_time
16.5,30.7,73,13.5,5.65
16.5,30.7,73,12.5,5.65
17.5,30.7,73,12.5,5.65
17.5,30.7,73,13,5.65
18,30.7,73,13,5.65
18,30.7,73,12,5.65
17,30.7,73,12.5,5.65
16.5,30.7,73,12,5.65
16,30.7,73,12,5.65
17,30.3,70,12,5.483333333
18.5,30.3,70,12.5,5.483333333
15,30.3,70,12.5,5.483333333
16.5,30.3,70,12,5.483333333
16,30.3,70,12.5,5.483333333
17,30.3,70,11.5,5.483333333
